OBJECTID,ED_GUID,ED_OFFICIA,ED_ENGLISH,ED_GAEILGE,ED_ID_STR,ED_PART_CO,COUNTY_COD,COUNTY_ENG,COUNTY_GAE,CSO_LEA,SHAPE_Leng,SHAPE_Area
"1",06698531-f7f7-4058-a15f-7d455ef0dd94,N,KILLINAGH/TEEBANE,CILL LAIGHNEACH/AN TAOBH BÁN,027058/027085,"1","32",CAVAN,An Cabhán,CAVAN-BELTURBET,39638.184537938206631,-33725322.169400669634342
"2",21a09083-a130-47d2-8690-23338d5ecf18,N,CASTLETOWN (NORTH),CAISLEÁN DHÚN DEALGAN (THUAIDH),"147008","1","10",LOUTH,Lú,DUNDALK-CARLINGFORD,22669.797045976276422,-12409345.000591097399592
"3",23519126-bd85-4c40-a1e2-26c5d2b7e51c,N,ARIGNA/DRUMKEERAN/KILLARGA,AN AIRGNIGH/DROIM CAORTHAINN/CILL FHEARGA,117029/117007/117054,"1","28",LEITRIM,Liatroim,MANORHAMILTON,75178.162907357560471,-79443851.365976318717003
"4",268c20e2-7574-4e64-ac7a-9383e368fcb7,N,DERRYLEA/DERRYCUNLAGH,DOIRE LIATH/DOIRE CHUNLAIGH,067081/067084,"1","27",GALWAY,Gaillimh,CONAMARA NORTH,61478.446835474802356,-77791253.055319070816040
"5",2ae19629-16a1-13a3-e055-000000000001,Y,BALLYADAMS,BAILE ADAIM,"107008","1","08",LAOIS,Laois,GRAIGUECULLEN-PORTARLINGTON,27048.369394980469224,-17459955.081222280859947
"6",2ae19629-16a2-13a3-e055-000000000001,Y,BALLYBRITTAS,BAILE BRIOTÁIS,"107009","1","08",LAOIS,Laois,GRAIGUECULLEN-PORTARLINGTON,24819.804658006680256,-15677198.762274721637368
"7",2ae19629-16a3-13a3-e055-000000000001,N,BALLYBROPHY,BAILE UÍ BHRÓITHE,"107010","1","08",LAOIS,Laois,BORRIS-IN-OSSORY-MOUNTMELLICK,21753.717511335980817,-9983739.851015809923410
"8",2ae19629-16a4-13a3-e055-000000000001,Y,BALLYCARROLL,BAILE UÍ CHEARÚILL,"107011","1","08",LAOIS,Laois,GRAIGUECULLEN-PORTARLINGTON,18234.160853283246979,-10245833.932744696736336
"9",2ae19629-16a5-13a3-e055-000000000001,Y,BALLYFIN,AN BAILE FIONN,"107012","1","08",LAOIS,Laois,BORRIS-IN-OSSORY-MOUNTMELLICK,29396.786656775359006,-35165638.421137817203999
"10",2ae19629-16a6-13a3-e055-000000000001,Y,BALLYLEHANE,BAILE UÍ LIATHÁIN,"107013","1","08",LAOIS,Laois,GRAIGUECULLEN-PORTARLINGTON,19128.537032379201264,-6674325.035723030567169
"11",2ae19629-16a7-13a3-e055-000000000001,Y,BALLYLYNAN,BAILE UÍ LAIGHEANÁIN,"107014","1","08",LAOIS,Laois,GRAIGUECULLEN-PORTARLINGTON,24991.252150614407583,-14260634.637209372594953
"12",2ae19629-16a8-13a3-e055-000000000001,Y,ABBEYLEIX,MAINISTIR LAOISE,"107001","1","08",LAOIS,Laois,PORTLAOISE,37874.869159721587494,-40659949.663943715393543
"13",2ae19629-16a9-13a3-e055-000000000001,Y,AGHMACART,ACHADH MHIC AIRT,"107002","1","08",LAOIS,Laois,BORRIS-IN-OSSORY-MOUNTMELLICK,26569.631583664904610,-18892962.979428470134735
"14",2ae19629-16aa-13a3-e055-000000000001,Y,ARDERIN,ARD ÉIREANN,"107003","1","08",LAOIS,Laois,BORRIS-IN-OSSORY-MOUNTMELLICK,29168.180418982199626,-23948050.623570632189512
"15",2ae19629-16ab-13a3-e055-000000000001,Y,ARDOUGH,ARD DUACH,"107004","1","08",LAOIS,Laois,GRAIGUECULLEN-PORTARLINGTON,25357.321704466234223,-17867422.694459155201912
"16",2ae19629-16ac-13a3-e055-000000000001,Y,ARLESS,ARDLIOS,"107005","1","08",LAOIS,Laois,GRAIGUECULLEN-PORTARLINGTON,26468.997178366793378,-16005452.283012304455042
"17",2ae19629-16ad-13a3-e055-000000000001,Y,BALLICKMOYLER,BAILE MHIC MHAOILIR,"107006","1","08",LAOIS,Laois,GRAIGUECULLEN-PORTARLINGTON,20595.765277981587133,-13888634.316007629036903
"18",2ae19629-16ae-13a3-e055-000000000001,Y,BALLINAKILL,BAILE NA COILLE,"107007","1","08",LAOIS,Laois,PORTLAOISE,25601.581361497093894,-19816086.802747614681721
"19",2ae19629-16af-13a3-e055-000000000001,Y,BALLYROAN,BAILE ÁTHA AN RÓINE,"107015","1","08",LAOIS,Laois,PORTLAOISE,24409.990250017410290,-22332584.177419804036617
