Themes ,ColName,TotalColForPerc,PercentageOf,Description of Field,Label,LatexTableTitle,Rank,Table
,T10_4_NFT,T10_4_TT,Persons aged 15+,No formal education - Total,No formal education,Education (percentage of those aged 15+),1,Population aged 15 years and over by sex and highest level of education completed 
,T10_4_PT,T10_4_TT,Persons aged 15+,Primary education - Total,Primary education,Education (percentage of those aged 15+),2,Population aged 15 years and over by sex and highest level of education completed 
,T10_4_LST,T10_4_TT,Persons aged 15+,Lower secondary - Total,Lower secondary,Education (percentage of those aged 15+),3,Population aged 15 years and over by sex and highest level of education completed 
,T10_4_UST,T10_4_TT,Persons aged 15+,Upper secondary - Total,Upper secondary,Education (percentage of those aged 15+),4,Population aged 15 years and over by sex and highest level of education completed 
,T10_4_TVT,T10_4_TT,Persons aged 15+,Technical or vocational qualification - Total,Technical or vocational qualification ,Education (percentage of those aged 15+),5,Population aged 15 years and over by sex and highest level of education completed 
,T10_4_ACCAT,T10_4_TT,Persons aged 15+,Advanced certificate/Completed apprenticeship - Total,Advanced certificate/Completed apprenticeship,Education (percentage of those aged 15+),6,Population aged 15 years and over by sex and highest level of education completed 
,T10_4_HCT,T10_4_TT,Persons aged 15+,Higher certificate - Total,Higher certificate,Education (percentage of those aged 15+),7,Population aged 15 years and over by sex and highest level of education completed 
,T10_4_ODNDT,T10_4_TT,Persons aged 15+,Ordinary bachelor degree or national diploma - Total,Ordinary bachelor degree or national diploma,Education (percentage of those aged 15+),8,Population aged 15 years and over by sex and highest level of education completed 
,T10_4_HDPQT,T10_4_TT,Persons aged 15+,"Honours bachelor degree, professional qualification or both - Total","Hns bach. degree, prof. qual. or both",Education (percentage of those aged 15+),9,Population aged 15 years and over by sex and highest level of education completed 
,T10_4_PDT,T10_4_TT,Persons aged 15+,Postgraduate diploma or degree - Total,Postgraduate diploma or degree,Education (percentage of those aged 15+),10,Population aged 15 years and over by sex and highest level of education completed 
,T10_4_DT,T10_4_TT,Persons aged 15+,Doctorate(Ph.D) or higher - Total,Doctorate(Ph.D) or higher,Education (percentage of those aged 15+),11,Population aged 15 years and over by sex and highest level of education completed 
,T10_4_NST,T10_4_TT,Persons aged 15+,Not stated - Total,Missing,Education (percentage of those aged 15+),Missing,Population aged 15 years and over by sex and highest level of education completed 
,T8_1_WT,T8_1_TT,Persons aged 15+,At work - Total,At work,Employment (percentage of those aged 15+),1,Population aged 15 years and over by principal economic status and sex 
,T8_1_LFFJT,T8_1_TT,Persons aged 15+,Looking for first regular job - Total,Looking for first regular job,Employment (percentage of those aged 15+),2,Population aged 15 years and over by principal economic status and sex 
,T8_1_STUT,T8_1_TT,Persons aged 15+,short Term Unemployed  - Total ,short Term Unemployed ,Employment (percentage of those aged 15+),3,Population aged 15 years and over by principal economic status and sex 
,T8_1_LTUT,T8_1_TT,Persons aged 15+,Long Term Unemployed - Total,Long Term Unemployed ,Employment (percentage of those aged 15+),4,Population aged 15 years and over by principal economic status and sex 
,T8_1_ST,T8_1_TT,Persons aged 15+,Student - Total,Student ,Employment (percentage of those aged 15+),5,Population aged 15 years and over by principal economic status and sex 
,T8_1_LAHFT,T8_1_TT,Persons aged 15+,Looking after home/family - Total,Looking after home/family  ,Employment (percentage of those aged 15+),6,Population aged 15 years and over by principal economic status and sex 
