SA,PCT,CHO_CHN_No,CHN,CST_No,CST,IHA_No,IHA,Region,HR_abbr
017001001,Bagenalstown,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017002001,Carlow 2,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017002002,Carlow 2,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017002003/01,Carlow 2,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017003001,Hacketstown/Rathvilly/Tullow,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017003002,Hacketstown/Rathvilly/Tullow,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017004001,Hacketstown/Rathvilly/Tullow,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017004002,Hacketstown/Rathvilly/Tullow,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017004003,Hacketstown/Rathvilly/Tullow,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017005001,Gowran/Graiguenamanagh/Borris/Courtnellan,CHO 5 - 2,Central Kilkenny and South Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017005002,Gowran/Graiguenamanagh/Borris/Courtnellan,CHO 5 - 2,Central Kilkenny and South Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017006001,Myshall/Leighlinbridge,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017007001,Gowran/Graiguenamanagh/Borris/Courtnellan,CHO 5 - 2,Central Kilkenny and South Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017008002/017008001,Gowran/Graiguenamanagh/Borris/Courtnellan,CHO 5 - 2,Central Kilkenny and South Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017008003,Gowran/Graiguenamanagh/Borris/Courtnellan,CHO 5 - 2,Central Kilkenny and South Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017008004,Gowran/Graiguenamanagh/Borris/Courtnellan,CHO 5 - 2,Central Kilkenny and South Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017009001,Carlow 3,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017009002,Carlow 3,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010001,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010002,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010003,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010004,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010005,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010006/017010007,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010007,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
