"Region","ReportLevel","Report"
"North Carlow","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN1-north-carlow-hse-dublin-and-south-east-WIP07-04-2025.pdf"" target=""_blank"" title=""North Carlow summary report"">PDF</a>  "
"Central Kilkenny and South Carlow","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN2-central-kilkenny-and-south-carlow-hse-dublin-and-south-east-WIP07-04-2025.pdf"" target=""_blank"" title=""Central Kilkenny and South Carlow summary report"">PDF</a>  "
"Cavan","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN3-cavan-hse-dublin-and-north-east-WIP07-04-2025.pdf"" target=""_blank"" title=""Cavan summary report"">PDF</a>  "
"Leitrim and West Cavan","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN4-leitrim-and-west-cavan-hse-west-and-north-west-WIP07-04-2025.pdf"" target=""_blank"" title=""Leitrim and West Cavan summary report"">PDF</a>  "
"North Meath and Ardee","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN5-north-meath-and-ardee-hse-dublin-and-north-east-WIP07-04-2025.pdf"" target=""_blank"" title=""North Meath and Ardee summary report"">PDF</a>  "
"West Clare","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN6-west-clare-hse-midwest-WIP07-04-2025.pdf"" target=""_blank"" title=""West Clare summary report"">PDF</a>  "
"East Clare","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN7-east-clare-hse-midwest-WIP07-04-2025.pdf"" target=""_blank"" title=""East Clare summary report"">PDF</a>  "
"North Limerick City","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN8-north-limerick-city-hse-midwest-WIP07-04-2025.pdf"" target=""_blank"" title=""North Limerick City summary report"">PDF</a>  "
"East Limerick and Ballina","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN9-east-limerick-and-ballina-hse-midwest-WIP07-04-2025.pdf"" target=""_blank"" title=""East Limerick and Ballina summary report"">PDF</a>  "
"West Cork","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN10-west-cork-hse-south-west-WIP07-04-2025.pdf"" target=""_blank"" title=""West Cork summary report"">PDF</a>  "
