"Rank","ED_ENGLISH","COUNTY_ENG","SmokingTotal","TotalPersons","Smoking"
"1","St. LAURENCE","LIMERICK CITY","343","988","34.7"
"2","JOHN'S A","LIMERICK CITY","224","747","30"
"3","GILLABBEY B","CORK CITY","308","1173","26.3"
"4","NEWPORT'S SQUARE","WATERFORD CITY","148","565","26.2"
"5","PROSPECT B","LIMERICK CITY","169","647","26.1"
"6","CHERRY ORCHARD A","DUBLIN CITY","889","3465","25.7"
"7","SHANDON B","CORK CITY","360","1409","25.6"
"8","SOUTH GATE B","CORK CITY","277","1084","25.6"
"9","KILLEELY A","LIMERICK CITY","365","1455","25.1"
"10","TALLAGHT-KILLINARDAN","SOUTH DUBLIN","971","3878","25"
"...","...","...","...","...","..."
"-","State","State","676187","5149139","13.1"
"...","...","...","...","...","..."
"3411","BALLYOVEY","MAYO","10","238","4.2"
"3412","STRADBALLY","KERRY","10","238","4.2"
"3413","ROSSMORE","ROSCOMMON","7","169","4.1"
"3414","BOOLYGLASS","KILKENNY","6","155","3.9"
"3415","KILBARRY","WATERFORD","9","245","3.7"
"3416","KILTORCAN","KILKENNY","7","188","3.7"
"3417","FEAKLE","CLARE","16","452","3.5"
"3418","FORGNEY","LONGFORD","105","3066","3.4"
"3419","CLOONUSKER","CLARE","9","279","3.2"
"3420","LACKAN","WESTMEATH","2","121","1.7"
