"Rank","ED_ENGLISH","COUNTY_ENG","VeryBadHealthTotal","TotalPersons","VeryBadHealth"
"1","BISHOPSTOWN","CORK CITY","14","421","3.3"
"2","MELLIFONT","MEATH","17","573","3"
"3","SKAHANAGH","CORK","4","173","2.3"
"4","BALLYGALL B","DUBLIN CITY","36","1930","1.9"
"5","STREAMHILL","CORK","2","107","1.9"
"6","CUR","GALWAY","3","154","1.9"
"7","CARRIGATOGHER","NORTH TIPPERARY","13","748","1.7"
"8","RATHKEALE URBAN","LIMERICK","22","1408","1.6"
"9","MUINGNABO","MAYO","4","249","1.6"
"10","DRUMMIN","MAYO","3","182","1.6"
"...","...","...","...","...","..."
"-","State","State","16843","5149139","0.3"
"...","...","...","...","...","..."
"3411","TULLAHERIN","KILKENNY","0","230","0"
"3412","TULLAROAN","KILKENNY","0","322","0"
"3413","KILFANE","KILKENNY","0","288","0"
"3414","KILKEASY","KILKENNY","0","399","0"
"3415","SHESKIN/BUNAVEELA/GLENCO","MAYO","0","158","0"
"3416","CAPARD/BRISHA","LAOIS","0","328","0"
"3417","LOUGHIL","SLIGO","0","74","0"
"3418","OWENNADORNAUN/BUNDORRAGHA","MAYO","0","159","0"
"3419","CAHERMURPHY/CORLEA","CLARE","0","188","0"
"3420","MOHERNAGH/DUNMOYLAN WEST","LIMERICK","0","196","0"
