OBJECTID,ED_GUID,ED_OFFICIA,ED_ENGLISH,ED_GAEILGE,ED_ID_STR,ED_PART_CO,COUNTY_COD,COUNTY_ENG,COUNTY_GAE,CSO_LEA,SHAPE_Leng,SHAPE_Area,ACShort,AC
365,2ae19629-1816-13a3-e055-000000000001,Y,RIDGE,AN DROIM,17043,1,1,CARLOW,Ceatharlach,MUINEBEAG,26691.32666,-17236057.96,Carlow,Carlow County Council
366,2ae19629-1817-13a3-e055-000000000001,N,SHANGARRY,AN SEANGHARRAÍ,17044,1,1,CARLOW,Ceatharlach,TULLOW,27775.19208,-20037790.25,Carlow,Carlow County Council
367,2ae19629-1818-13a3-e055-000000000001,Y,SLIGUFF,SLÍ DHUBH,17045,1,1,CARLOW,Ceatharlach,MUINEBEAG,19825.0423,-15054972.3,Carlow,Carlow County Council
375,2ae19629-1820-13a3-e055-000000000001,Y,TANKARDSTOWN,BAILE THANCAIRD,17046,1,1,CARLOW,Ceatharlach,TULLOW,21823.28129,-16824613.11,Carlow,Carlow County Council
376,2ae19629-1821-13a3-e055-000000000001,Y,TEMPLEPETER,TEAMPALL PHEADAIR,17047,1,1,CARLOW,Ceatharlach,TULLOW,23762.52691,-15084356.01,Carlow,Carlow County Council
377,2ae19629-1822-13a3-e055-000000000001,Y,TIKNOCK,TIGH AN CHNOIC,17048,1,1,CARLOW,Ceatharlach,TULLOW,17467.15401,-10754260.23,Carlow,Carlow County Council
378,2ae19629-1823-13a3-e055-000000000001,Y,TINNAHINCH,TIGH NA HINSE,17049,1,1,CARLOW,Ceatharlach,MUINEBEAG,21514.38469,-13807857.65,Carlow,Carlow County Council
397,2ae19629-1836-13a3-e055-000000000001,Y,AGHA,ACHADH,17001,1,1,CARLOW,Ceatharlach,MUINEBEAG,20131.25048,-12316519.48,Carlow,Carlow County Council
398,2ae19629-1837-13a3-e055-000000000001,Y,BALLINACARRIG,BAILE NA CARRAIGE,17002,1,1,CARLOW,Ceatharlach,CARLOW,23594.58315,-16250770.68,Carlow,Carlow County Council
407,2ae19629-1840-13a3-e055-000000000001,Y,BALLINTEMPLE,BAILE AN TEAMPAILL,17003,1,1,CARLOW,Ceatharlach,TULLOW,31488.58255,-28342609.17,Carlow,Carlow County Council
408,2ae19629-1841-13a3-e055-000000000001,Y,BALLON,BALANA,17004,1,1,CARLOW,Ceatharlach,TULLOW,17141.84511,-9789628.098,Carlow,Carlow County Council
409,2ae19629-1842-13a3-e055-000000000001,Y,BALLYELLIN,BAILE EILÍN,17005,1,1,CARLOW,Ceatharlach,MUINEBEAG,24941.13177,-15793618.58,Carlow,Carlow County Council
410,2ae19629-1843-13a3-e055-000000000001,Y,BALLYMOON,BAILE MUÁIN,17006,1,1,CARLOW,Ceatharlach,MUINEBEAG,18582.69074,-14086292.8,Carlow,Carlow County Council
420,2ae19629-184d-13a3-e055-000000000001,Y,BALLYMURPHY,BAILE UÍ MHURCHÚ,17007,1,1,CARLOW,Ceatharlach,MUINEBEAG,23342.86648,-17999877.05,Carlow,Carlow County Council
421,2ae19629-184e-13a3-e055-000000000001,Y,BORRIS,AN BHUIRÍOS,17008,1,1,CARLOW,Ceatharlach,MUINEBEAG,21527.93405,-16050762.07,Carlow,Carlow County Council
422,2ae19629-184f-13a3-e055-000000000001,Y,BURTON HALL,BAILE NA COILLE,17009,1,1,CARLOW,Ceatharlach,CARLOW,19563.1395,-6103130.012,Carlow,Carlow County Council
430,2ae19629-1857-13a3-e055-000000000001,Y,CARLOW RURAL,CEATHARLACH (TUATH),17010,1,1,CARLOW,Ceatharlach,CARLOW,32735.56542,-22116128.27,Carlow,Carlow County Council
431,2ae19629-1858-13a3-e055-000000000001,Y,CARLOW URBAN,CEATHARLACH (UIRBEACH),17011,1,1,CARLOW,Ceatharlach,CARLOW,5984.220208,-1845433.742,Carlow,Carlow County Council
432,2ae19629-1859-13a3-e055-000000000001,N,CLOGRENAN,CLOCH GHRIANÁIN,17012,1,1,CARLOW,Ceatharlach,MUINEBEAG,21350.69504,-17737250.93,Carlow,Carlow County Council
433,2ae19629-185a-13a3-e055-000000000001,Y,CLONEGALL,CLUAIN NA NGALL,17013,1,1,CARLOW,Ceatharlach,TULLOW,27379.323,-23344404.16,Carlow,Carlow County Council
443,2ae19629-1864-13a3-e055-000000000001,Y,CLONMORE,CLUAIN MHÓR,17014,1,1,CARLOW,Ceatharlach,TULLOW,30122.99832,-28124547.7,Carlow,Carlow County Council
444,2ae19629-1865-13a3-e055-000000000001,Y,COONOGUE,CAONÓG,17015,1,1,CARLOW,Ceatharlach,MUINEBEAG,17751.88882,-15216979.41,Carlow,Carlow County Council
445,2ae19629-1866-13a3-e055-000000000001,Y,CORRIES,NA CORAÍ,17016,1,1,CARLOW,Ceatharlach,MUINEBEAG,22470.65142,-17630856.79,Carlow,Carlow County Council
456,2ae19629-1872-13a3-e055-000000000001,Y,CRANEMORE,AN CORRÁN MÓR,17017,1,1,CARLOW,Ceatharlach,TULLOW,43664.93104,-36548559.6,Carlow,Carlow County Council
457,2ae19629-1873-13a3-e055-000000000001,Y,FENNAGH,FIONNMHACH,17018,1,1,CARLOW,Ceatharlach,MUINEBEAG,24939.81139,-18953393.2,Carlow,Carlow County Council
458,2ae19629-1874-13a3-e055-000000000001,Y,GARRYHILL,AN GHARBHCHOILL,17019,1,1,CARLOW,Ceatharlach,MUINEBEAG,28655.94528,-23852920.64,Carlow,Carlow County Council
467,2ae19629-187d-13a3-e055-000000000001,Y,GLYNN,AN GLEANN,17020,1,1,CARLOW,Ceatharlach,MUINEBEAG,24360.11916,-22594525.49,Carlow,Carlow County Council
468,2ae19629-187e-13a3-e055-000000000001,Y,GRANGEFORD,AN GHRÁINSEACH,17021,1,1,CARLOW,Ceatharlach,TULLOW,18253.1447,-14176362.45,Carlow,Carlow County Council
469,2ae19629-187f-13a3-e055-000000000001,Y,HACKETSTOWN,BAILE HAICÉID,17022,1,1,CARLOW,Ceatharlach,TULLOW,30660.06449,-22059238.1,Carlow,Carlow County Council
476,2ae19629-1887-13a3-e055-000000000001,Y,HAROLDSTOWN,BAILE EIREOIL,17023,1,1,CARLOW,Ceatharlach,TULLOW,17196.09096,-11538057.08,Carlow,Carlow County Council
477,2ae19629-1888-13a3-e055-000000000001,Y,JOHNSTOWN,BAILE SHEÁIN,17024,1,1,CARLOW,Ceatharlach,CARLOW,20062.08137,-15588675.45,Carlow,Carlow County Council
478,2ae19629-1889-13a3-e055-000000000001,Y,KELLISTOWN,CILL OSNA,17025,1,1,CARLOW,Ceatharlach,TULLOW,27423.59164,-20002442.14,Carlow,Carlow County Council
479,2ae19629-188a-13a3-e055-000000000001,Y,KILBRIDE,CILL BHRÍDE,17026,1,1,CARLOW,Ceatharlach,TULLOW,24448.42176,-14667054.37,Carlow,Carlow County Council
