"Rank","ED_ENGLISH","COUNTY_ENG","DisabilityTotal","TotalPersons","Disability"
"1","JOHN'S A","LIMERICK CITY","289","747","38.7"
"2","KILLEELY A","LIMERICK CITY","558","1455","38.4"
"3","GALLEN","OFFALY","221","588","37.6"
"4","WEXFORD No. 1 URBAN","WEXFORD","637","1702","37.4"
"5","BALLYNAKILL","WATERFORD","159","432","36.8"
"6","St. LAURENCE","LIMERICK CITY","363","988","36.7"
"7","TOGHER B","CORK CITY","251","683","36.7"
"8","BISHOPSTOWN","CORK CITY","154","421","36.6"
"9","FAIR HILL B","CORK CITY","273","753","36.3"
"10","MAYFIELD","CORK CITY","1022","2846","35.9"
"...","...","...","...","...","..."
"-","State","State","1109557","5149139","21.5"
"...","...","...","...","...","..."
"3411","GLANLEE","KERRY","22","193","11.4"
"3412","BORRISNOE","NORTH TIPPERARY","15","133","11.3"
"3413","CLOONUSKER","CLARE","31","279","11.1"
"3414","CURRAGHBEG","KERRY","20","187","10.7"
"3415","SHANNON A","LIMERICK CITY","132","1299","10.2"
"3416","ROTUNDA B","DUBLIN CITY","353","3589","9.8"
"3417","CAPPAGHABAUN","CLARE","19","210","9"
"3418","KILTORCAN","KILKENNY","17","188","9"
"3419","FEAKLE","CLARE","39","452","8.6"
"3420","FORGNEY","LONGFORD","200","3066","6.5"
