"Region","ReportLevel","Report"
"HSE Carlow Kilkenny and Tipperary South","IHA","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/iha/IHA1-hse-carlow-kilkenny-and-tipperary-south-hse-dublin-and-south-east-WIP04-04-2025.pdf"" target=""_blank"" title=""HSE Carlow Kilkenny and Tipperary South pdf report"">PDF</a>  "
"HSE Cavan Monaghan","IHA","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/iha/IHA2-hse-cavan-monaghan-hse-dublin-and-north-east-WIP04-04-2025.pdf"" target=""_blank"" title=""HSE Cavan Monaghan pdf report"">PDF</a>  "
"HSE Sligo Leitrim","IHA","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/iha/IHA3-hse-sligo-leitrim-hse-west-and-north-west-WIP04-04-2025.pdf"" target=""_blank"" title=""HSE Sligo Leitrim pdf report"">PDF</a>  "
"HSE Louth Meath","IHA","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/iha/IHA4-hse-louth-meath-hse-dublin-and-north-east-WIP04-04-2025.pdf"" target=""_blank"" title=""HSE Louth Meath pdf report"">PDF</a>  "
"HSE Clare and Limerick County","IHA","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/iha/IHA5-hse-clare-and-limerick-county-hse-midwest-WIP04-04-2025.pdf"" target=""_blank"" title=""HSE Clare and Limerick County pdf report"">PDF</a>  "
"HSE Limerick City and Tipperary North","IHA","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/iha/IHA6-hse-limerick-city-and-tipperary-north-hse-midwest-WIP04-04-2025.pdf"" target=""_blank"" title=""HSE Limerick City and Tipperary North pdf report"">PDF</a>  "
"HSE Cork South and West","IHA","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/iha/IHA7-hse-cork-south-and-west-hse-south-west-WIP04-04-2025.pdf"" target=""_blank"" title=""HSE Cork South and West pdf report"">PDF</a>  "
"HSE Cork North and East","IHA","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/iha/IHA8-hse-cork-north-and-east-hse-south-west-WIP04-04-2025.pdf"" target=""_blank"" title=""HSE Cork North and East pdf report"">PDF</a>  "
"HSE Donegal","IHA","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/iha/IHA9-hse-donegal-hse-west-and-north-west-WIP04-04-2025.pdf"" target=""_blank"" title=""HSE Donegal pdf report"">PDF</a>  "
"HSE Galway Roscommon","IHA","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/iha/IHA10-hse-galway-roscommon-hse-west-and-north-west-WIP04-04-2025.pdf"" target=""_blank"" title=""HSE Galway Roscommon pdf report"">PDF</a>  "
"HSE Kerry","IHA","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/iha/IHA11-hse-kerry-hse-south-west-WIP04-04-2025.pdf"" target=""_blank"" title=""HSE Kerry pdf report"">PDF</a>  "
"HSE Kildare West Wicklow","IHA","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/iha/IHA12-hse-kildare-west-wicklow-hse-dublin-and-midlands-WIP04-04-2025.pdf"" target=""_blank"" title=""HSE Kildare West Wicklow pdf report"">PDF</a>  "
"HSE Dublin South City and West","IHA","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/iha/IHA13-hse-dublin-south-city-and-west-hse-dublin-and-midlands-WIP04-04-2025.pdf"" target=""_blank"" title=""HSE Dublin South City and West pdf report"">PDF</a>  "
